rainfall_1h,rainfall_3h,rainfall_6h,soil_moisture,slope,elevation,land_cover,drainage_density,antecedent_rainfall,flood_occurred
20.88,63.75,95.62,0.634,49.6,539.0,grassland,0.224,80.6,0
1.99,13.0,16.35,0.105,45.5,410.0,agriculture,0.759,11.79,0
8.89,58.07,46.88,0.278,47.4,1366.0,agriculture,0.784,14.84,0
18.8,52.32,65.2,0.509,40.2,473.0,forest,0.432,38.87,0
2.33,2.02,8.34,0.209,23.5,735.0,grassland,0.949,7.3,0
23.23,22.35,49.66,0.547,32.8,1495.0,agriculture,0.821,42.0,0
5.8,29.2,42.4,0.313,48.8,903.0,bare_soil,0.517,57.15,0
11.17,40.26,42.08,0.425,25.0,751.0,agriculture,0.608,54.89,0
0.47,2.19,18.82,0.248,8.2,1011.0,agriculture,0.623,8.44,0
7.21,13.63,16.11,0.117,10.6,1096.0,urban,0.963,12.82,0
54.22,120.04,144.29,0.828,19.9,1422.0,bare_soil,0.322,139.64,1
63.56,90.03,155.93,0.605,48.9,1731.0,grassland,0.246,144.33,1
78.14,95.14,168.88,0.617,43.3,605.0,urban,0.64,130.85,1
10.29,39.27,72.45,0.31,54.8,1440.0,grassland,0.614,25.59,0
2.25,6.76,17.65,0.108,8.5,1410.0,forest,0.924,4.4,0
21.72,24.64,33.6,0.531,28.6,1655.0,agriculture,0.352,38.55,0
4.31,8.47,14.01,0.232,54.2,557.0,grassland,0.471,13.47,0
16.22,33.98,43.11,0.325,27.2,1778.0,urban,0.24,56.16,0
111.8,197.83,263.37,0.945,29.3,742.0,grassland,0.247,124.97,1
24.6,35.48,52.5,0.537,32.8,1549.0,forest,0.437,59.77,0
98.96,167.95,247.32,0.763,30.1,1764.0,forest,0.969,162.58,1
43.63,61.76,88.39,0.673,34.7,1391.0,grassland,0.667,54.77,0
52.71,60.21,130.13,0.51,38.6,880.0,grassland,0.801,63.75,1
119.8,135.13,199.18,0.811,49.0,1807.0,grassland,0.326,193.99,1
69.62,126.7,208.98,0.763,45.9,879.0,bare_soil,0.951,70.63,1
5.53,5.45,18.14,0.229,36.7,822.0,urban,0.924,4.07,0
48.23,115.41,152.13,0.601,36.9,819.0,bare_soil,0.641,131.69,1
8.83,18.08,16.37,0.259,12.4,604.0,grassland,0.919,11.65,0
75.12,143.94,146.81,0.662,44.0,1815.0,grassland,0.697,78.22,1
79.17,138.65,200.51,0.606,21.6,1889.0,agriculture,0.891,128.93,1
54.34,137.24,138.65,0.818,16.1,1707.0,urban,0.444,138.69,1
1.93,6.57,25.93,0.292,37.1,1039.0,agriculture,0.629,5.58,0
75.77,197.93,196.07,0.971,10.4,1095.0,bare_soil,0.451,133.89,1
19.41,26.46,71.07,0.251,31.9,1551.0,bare_soil,0.737,56.28,0
6.75,44.89,46.46,0.344,41.0,881.0,grassland,0.527,52.4,0
4.2,18.81,20.32,0.276,20.0,1277.0,forest,0.43,12.31,0
19.5,44.46,55.22,0.383,28.7,1842.0,bare_soil,0.336,20.69,0
31.73,90.92,132.58,0.618,15.0,439.0,forest,0.58,53.48,0
47.55,114.87,180.38,0.649,29.7,790.0,bare_soil,0.204,125.71,1
4.25,3.52,28.74,0.179,17.5,1757.0,urban,0.841,1.0,0
54.58,79.77,146.5,0.673,41.0,1208.0,agriculture,0.638,76.76,1
29.07,62.36,124.64,0.641,36.3,839.0,forest,0.429,71.28,0
12.99,39.31,33.99,0.319,40.3,503.0,grassland,0.634,44.7,0
27.62,41.28,70.21,0.507,24.0,409.0,grassland,0.803,48.28,0
78.37,115.14,189.8,0.737,16.0,751.0,grassland,0.223,118.26,1
9.13,36.03,33.3,0.437,24.7,1303.0,forest,0.714,11.35,0
4.62,1.01,11.37,0.103,43.1,1007.0,bare_soil,0.866,6.54,0
5.39,20.0,10.5,0.213,37.6,1607.0,agriculture,0.359,15.62,0
1.52,2.52,20.08,0.191,40.0,1627.0,forest,0.686,4.36,0
78.77,96.49,132.05,0.678,52.9,1035.0,bare_soil,0.261,124.19,1
41.95,55.1,134.07,0.663,11.1,1974.0,bare_soil,0.478,76.02,0
31.94,92.48,137.56,0.476,36.8,1726.0,bare_soil,0.548,97.65,0
78.79,106.2,194.66,0.735,26.8,1570.0,grassland,0.881,108.68,1
53.54,117.88,178.83,0.695,47.5,691.0,forest,0.838,72.3,1
27.01,46.55,42.96,0.253,9.3,1552.0,urban,0.807,57.4,0
